numeroDeclarationActivite,denomination,region,categories_soft,nb_stagiaires,effectif_formateurs,production_estimee
9.3131755713E10,ANTI FLASH,Provence-Alpes-Côte d'Azur,Enseignement,254,3,7.06
8.4380900538E10,ANTIGONE,Auvergne-Rhône-Alpes,Comportementales,209,3,6.87
1.1930758393E10,APAP AUTO-ECOLE,Île-de-France,Enseignement,181,3,6.75
1.1931075093E10,A PERMIS,Île-de-France,Enseignement,93,3,6.39
1.1770875977E10,APSYDE,Île-de-France,Enseignement,810,3,9.38
1.1770532877E10,APTIS,Île-de-France,Comportementales,340,3,7.42
5.3290972029E10,APTITUDE(S),Bretagne,Comportementales,170,3,6.71
1.1753977775E10,ARC EN CIEL RH,Île-de-France,Comportementales,93,3,6.39
4.2670413967E10,ARC INNOVATION SAS,Grand Est,Comportementales,69,3,6.29
7.3310717031E10,ARTSCENICA ASSOCIATION,Occitanie,RH gestion,24,3,6.10
7.6311173531E10,ASAPE FORMATION SAS,Occitanie,RH gestion,44,3,6.18
9.3830418783E10,ASC COMMUNICATION,Provence-Alpes-Côte d'Azur,Comportementales,71,3,6.30
1.1756662575E10,AS CONDUITE PARIS 2,Île-de-France,Enseignement,132,3,6.55
4.410009711E10,ASER 3,Grand Est,Enseignement,62,3,6.26
1.1922683692E10,A.S FORMATION,Île-de-France,RH gestion,3,3,6.01
7.540020564E10,AS FORMATION,Nouvelle-Aquitaine,Enseignement,135,3,6.56
2.5140208414E10,ASL Conseil,Normandie,Orientation,83,3,6.35
2.4410000541E10,ASSISTANCE CONSEIL EN RESSOURCES HUMAINES ACRH,Centre-Val de Loire,"RH gestion, Orientation",21,3,6.09
4.4550055555E10,ASS MEUSIENNE INFORMAT ENTRAIDE,Grand Est,Orientation,63,3,6.26
7.6341003834E10,ASS. M LA CERAMIQUE,Occitanie,Enseignement,7,3,6.03
7.5331165033E10,ASSOCIATION  A A ZEN,Nouvelle-Aquitaine,Comportementales,97,3,6.40
7.6660239566E10,ASSOCIATION CAPITAL EXPERIENCES,Occitanie,Orientation,49,3,6.20
5.3290912629E10,ASSOCIATION DE SAUVETAGE ET SECOURISME DU PAYS BIGOUDEN,Bretagne,Enseignement,48,3,6.20
9.3830730283E10,ASSOCIATION DES MEDECINS GENERALISTES DE LA REGION PACA POUR LA FORMATION CONTINUE ET L'EVALUATION DES PRATIQUES,Provence-Alpes-Côte d'Azur,Enseignement,50,3,6.21
4.4680274268E10,ASSOCIATION EUROPEENNE PARENTALITE POSITIVE,Grand Est,Comportementales,196,3,6.82
4.2670000267E10,ASSOCIATION GENERALE DES FAMILLES DU BAS RHIN,Grand Est,Comportementales,86,3,6.36
5.2490231749E10,ASSOCIATION GRAINE DE CITOYEN,Pays de la Loire,Comportementales,314,3,7.31
7.5190092119E10,ASSOCIATION NATIONALE DES DIRECTEURS D ECOLES PARAMEDICALES,Nouvelle-Aquitaine,Enseignement,103,3,6.43
4.2670488567E10,ASSOCIATION PARENTS TOUT SIMPLEMENT,Grand Est,Comportementales,738,3,9.07
1.1754946075E10,ASSOCIATION POUR LE DEVELOPPEMENT DU MINDFULNESS,Île-de-France,Comportementales,50,3,6.21
9.3840414884E10,ASTER DEVELOPPEMENT,Provence-Alpes-Côte d'Azur,Comportementales,282,3,7.17
3.2620349362E10,ATECA FORMATION,Hauts-de-France,Enseignement,4,3,6.02
7.2331008733E10,ATEC BC,Nouvelle-Aquitaine,RH gestion,208,3,6.87
7.3310664831E10,ATHENA MANAGEMENT,Occitanie,Comportementales,51,3,6.21
5.2850223385E10,AT'HOME FORMATIONS - TRIAMID'HOM,Pays de la Loire,Enseignement,4,3,6.02
1.1756806975E10,ATNA,Île-de-France,Enseignement,46,3,6.19
1.1922415192E10,A TRIBE CALLED GAAM,Île-de-France,Comportementales,26,3,6.11
1.1910614891E10,ATTRIBUT CONSEILS,Île-de-France,RH gestion,77,3,6.32
4.2670371867E10,ATYS CONSEIL -  HECKEL JENNIFER,Grand Est,"RH gestion, Orientation",86,3,6.36
8.4691572369E10,AUDAGE CONSEIL,Auvergne-Rhône-Alpes,RH gestion,372,3,7.55
7.6110162211E10,AUDE FORMATIONS,Occitanie,Enseignement,93,3,6.39
8.2740025674E10,AUDIO LOOK FORMATION SARL,Auvergne-Rhône-Alpes,RH gestion,480,3,8.00
1.1922845492E10,AUTO BECON CENTRE,Île-de-France,Enseignement,6,3,6.03
4.4520039752E10,AUTO-ECOLE 2.0,Grand Est,Enseignement,65,3,6.27
4.4880143488E10,AUTO ECOLE ACG,Grand Est,Enseignement,47,3,6.20
4.4570378557E10,AUTO-ECOLE ALAIN,Grand Est,Enseignement,14,3,6.06
3.1620003762E10,AUTO ECOLEALBAIN AGENCE DAUNOU,Hauts-de-France,Enseignement,346,3,7.44
1.1950693895E10,AUTO ECOLE ALBERT CAMUS 2,Île-de-France,Enseignement,93,3,6.39
2.8140362414E10,AUTO ECOLE AUNAY FORMATIONS,Normandie,Enseignement,9,3,6.04
9.3830720183E10,AUTO ECOLE BEL AIR,Provence-Alpes-Côte d'Azur,Enseignement,41,3,6.17
3.280021268E10,AUTO ECOLE BENOIT DANCOURT SARL,Hauts-de-France,Enseignement,40,3,6.17
2.4360092236E10,AUTO ECOLE BM36,Centre-Val de Loire,Enseignement,22,3,6.09
9.3830642283E10,AUTO-ECOLE CADIERENNE,Provence-Alpes-Côte d'Azur,Enseignement,44,3,6.18
1.1788369378E10,AUTO ECOLE CARINA,Île-de-France,Enseignement,130,3,6.54
9.3040087104E10,AUTO ECOLE CER CA ROULE,Provence-Alpes-Côte d'Azur,Enseignement,134,3,6.56
5.2850234885E10,AUTO-ECOLE CHALLANDAISE,Pays de la Loire,Enseignement,12,3,6.05
1.1770668177E10,AUTO ECOLE CONFLUENCE,Île-de-France,Enseignement,103,3,6.43
