denomination;effectif;nb_stagiaires;livrables;code_region
;3;2196.0;15.15;84
;3;2357.0;15.820833333333333;11
;3;2473.0;16.304166666666667;84
;3;2848.0;17.866666666666667;44
;3;2190.0;15.125;84
;3;2229.0;15.2875;52
;3;3735.0;21.5625;11
;4;1733.0;15.220833333333333;75
;4;1806.0;15.525;11
;4;2476.0;18.316666666666666;11
;4;1858.0;15.741666666666667;44
;4;1699.0;15.079166666666667;6
;4;2015.0;16.395833333333332;93
;4;2826.0;19.775;84
;4;2093.0;16.72083333333333;75
;4;2044.0;16.516666666666666;76
;4;2257.0;17.40416666666667;84
;4;4048.0;24.866666666666667;44
;4;6972.0;37.05;24
;4;2896.0;20.066666666666666;84
;4;2515.0;18.479166666666668;11
;4;8000.0;41.33333333333333;11
;4;11827.0;57.27916666666667;84
;4;1900.0;15.916666666666668;11
;4;2179.0;17.079166666666666;11
;4;2674.0;19.141666666666666;11
;4;2204.0;17.183333333333334;24
;4;3197.0;21.320833333333333;44
;4;2014.0;16.391666666666666;75
;4;2398.0;17.991666666666667;11
;4;1725.0;15.1875;93
;4;1904.0;15.933333333333334;32
;4;2443.0;18.179166666666667;84
;4;2915.0;20.145833333333332;11
;4;2285.0;17.520833333333332;76
;4;2206.0;17.191666666666666;76
;5;1414.0;15.891666666666666;76
;5;3243.0;23.5125;11
;5;1562.0;16.508333333333333;11
;5;2470.0;20.291666666666668;76
;5;2009.0;18.370833333333334;84
;5;1571.0;16.545833333333334;84
;5;1452.0;16.05;93
;5;1905.0;17.9375;11
;5;2349.0;19.7875;11
;5;1382.0;15.758333333333333;93
;5;2699.0;21.245833333333334;11
;5;3176.0;23.233333333333334;53
;5;3249.0;23.5375;76
;5;1382.0;15.758333333333333;28
;5;1356.0;15.65;75
;5;3262.0;23.591666666666665;11
;5;1225.0;15.104166666666666;11
;5;2678.0;21.15833333333333;11
;5;2071.0;18.629166666666666;52
;5;1230.0;15.125;11
;5;1829.0;17.620833333333334;84
;5;66855.0;288.5625;84
;5;3985.0;26.604166666666664;32
;5;3033.0;22.6375;11
;5;1978.0;18.241666666666667;75
;5;3645.0;25.1875;52
;5;1850.0;17.708333333333332;76
;5;3752.0;25.633333333333333;76
;5;3025.0;22.604166666666668;93
;5;1223.0;15.095833333333333;44
;5;1983.0;18.2625;93
;5;1448.0;16.03333333333333;11
;5;1480.0;16.166666666666664;84
;5;4095.0;27.0625;75
;5;1428.0;15.95;11
;5;2219.0;19.245833333333334;11
;5;1308.0;15.45;11
;5;1250.0;15.208333333333334;75
;5;3922.0;26.341666666666665;75
;5;2625.0;20.9375;84
;5;1256.0;15.233333333333334;11
;5;14298.0;69.575;32
;5;1484.0;16.183333333333334;32
;5;1415.0;15.895833333333334;84
;5;1644.0;16.85;11
;5;1233.0;15.1375;76
;5;1450.0;16.041666666666664;27
;5;1575.0;16.5625;28
;5;3540.0;24.75;52
;5;1420.0;15.916666666666666;11
;5;2668.0;21.116666666666667;11
;5;2244.0;19.35;32
;5;1206.0;15.025;76
;6;1007.0;16.195833333333333;52
;6;1512.0;18.3;32
;6;756.0;15.15;76
;6;755.0;15.145833333333332;53
;6;1076.0;16.483333333333334;24
;6;1316.0;17.483333333333334;32
;6;963.0;16.0125;84
;6;2662.0;23.09166666666667;11
;6;1345.0;17.604166666666664;11
;6;814.0;15.391666666666666;93
;6;1123.0;16.679166666666667;84
;6;5304.0;34.1;27
;6;913.0;15.804166666666667;75
;6;2476.0;22.316666666666666;11
;6;894.0;15.725;44
;6;843.0;15.5125;32
;6;991.0;16.129166666666666;11
;6;2099.0;20.745833333333334;75
;6;1306.0;17.441666666666666;28
;6;805.0;15.354166666666666;75
;6;874.0;15.641666666666666;52
;6;880.0;15.666666666666666;76
;6;768.0;15.2;75
;6;1096.0;16.566666666666666;11
;6;1245.0;17.1875;84
;6;726.0;15.025;11
;6;1151.0;16.795833333333334;11
;6;1055.0;16.395833333333336;11
;6;1145.0;16.770833333333336;93
;6;822.0;15.425;84
;6;2655.0;23.0625;27
;6;938.0;15.908333333333333;84
;6;2941.0;24.254166666666666;84
;6;826.0;15.441666666666666;32
;6;1449.0;18.0375;84
;6;3168.0;25.2;11
;6;1482.0;18.175;11
;6;2489.0;22.370833333333334;84
;6;815.0;15.395833333333334;28
;6;811.0;15.379166666666666;84
;6;747.0;15.1125;11
;6;1748.0;19.28333333333333;84
;6;1378.0;17.741666666666667;11
;6;1019.0;16.245833333333334;94
;6;828.0;15.45;53
;6;1046.0;16.358333333333334;52
;6;1112.0;16.633333333333333;11
;6;1318.0;17.491666666666667;32
;6;1584.0;18.6;27
;6;967.0;16.02916666666667;11
;6;1205.0;17.020833333333336;84
;6;2424.0;22.1;75
;6;1426.0;17.941666666666666;2
;6;892.0;15.716666666666667;84
;6;796.0;15.316666666666666;11
;6;942.0;15.925;84
;6;1490.0;18.208333333333336;11
;6;1344.0;17.6;11
;6;1905.0;19.9375;32
;6;783.0;15.2625;53
;6;830.0;15.458333333333334;75
;6;1046.0;16.358333333333334;11
;6;2352.0;21.8;93
;6;5626.0;35.44166666666666;32
;6;887.0;15.695833333333333;52
;6;1826.0;19.608333333333334;84
;6;820.0;15.416666666666666;93
;6;769.0;15.204166666666666;32
;6;1865.0;19.770833333333332;52
;6;812.0;15.383333333333333;84
;6;735.0;15.0625;11
;6;1306.0;17.441666666666666;75
;6;762.0;15.175;27
;6;1040.0;16.333333333333336;93
;6;974.0;16.058333333333334;11
;6;999.0;16.1625;93
;6;1486.0;18.191666666666666;11
;6;971.0;16.045833333333334;24
;6;8582.0;47.75833333333333;11
;6;847.0;15.529166666666667;11
;6;1109.0;16.620833333333334;52
;6;1171.0;16.879166666666666;93
;6;802.0;15.341666666666667;84
;6;9069.0;49.7875;11
;6;1221.0;17.0875;44
;6;6482.0;39.00833333333333;84
;6;1043.0;16.34583333333333;11
;6;1265.0;17.270833333333336;28
;6;763.0;15.179166666666667;11
;6;2516.0;22.483333333333334;11
;6;1801.0;19.504166666666666;84
;6;963.0;16.0125;53
;6;893.0;15.720833333333333;11
;6;1105.0;16.604166666666664;32
;6;779.0;15.245833333333334;53
;6;3132.0;25.05;84
;6;772.0;15.216666666666667;11
;6;951.0;15.9625;53
;6;1263.0;17.2625;11
;6;1675.0;18.979166666666668;84
;6;905.0;15.770833333333334;53
;6;1671.0;18.9625;27
;6;856.0;15.566666666666666;84
;6;1342.0;17.59166666666667;75
;6;832.0;15.466666666666667;75
;6;952.0;15.966666666666667;75
;6;1165.0;16.854166666666664;27
;6;1525.0;18.354166666666664;11
;6;1113.0;16.6375;11
;6;1007.0;16.195833333333333;11
;6;1959.0;20.1625;44
;6;1519.0;18.329166666666666;52
;6;1095.0;16.5625;84
;6;2278.0;21.491666666666667;11
;6;2025.0;20.4375;11
;6;1213.0;17.054166666666667;11
;6;2937.0;24.2375;24
;6;1487.0;18.195833333333333;84
;6;897.0;15.7375;84
;6;751.0;15.129166666666666;11
;6;1045.0;16.354166666666664;84
;6;1193.0;16.97083333333333;11
;6;926.0;15.858333333333334;84
;6;959.0;15.995833333333334;44
;6;1032.0;16.3;11
;6;1318.0;17.491666666666667;75
;6;1348.0;17.616666666666667;52
;6;2765.0;23.520833333333332;32
;6;1031.0;16.295833333333334;11
;6;776.0;15.233333333333334;84
;6;924.0;15.85;52
;7;267.0;15.1125;27
;7;554.0;16.308333333333334;93
;7;259.0;15.079166666666666;44
;7;550.0;16.291666666666668;11
;7;315.0;15.3125;11
;7;281.0;15.170833333333334;44
;7;1074.0;18.475;11
;7;817.0;17.404166666666665;32
;7;312.0;15.3;76
;7;1113.0;18.6375;11
;7;2327.0;23.695833333333333;44
;7;718.0;16.991666666666667;84
;7;1205.0;19.020833333333336;11
;7;1403.0;19.84583333333333;11
;7;390.0;15.625;11
;7;358.0;15.491666666666667;44
;7;249.0;15.0375;52
;7;301.0;15.254166666666666;84
;7;558.0;16.325;75
;7;290.0;15.208333333333334;84
;7;461.0;15.920833333333333;11
;7;465.0;15.9375;11
;7;242.0;15.008333333333333;52
;7;261.0;15.0875;24
;7;621.0;16.5875;93
;7;529.0;16.204166666666666;4
;7;733.0;17.054166666666667;53
;7;277.0;15.154166666666667;84
;7;1282.0;19.34166666666667;11
;7;657.0;16.7375;76
;7;372.0;15.55;76
;7;379.0;15.579166666666666;27
;7;290.0;15.208333333333334;11
;7;596.0;16.483333333333334;11
;7;608.0;16.53333333333333;93
;7;243.0;15.0125;28
;7;242.0;15.008333333333333;76
;7;474.0;15.975;11
;7;3352.0;27.966666666666665;93
;7;1182.0;18.925;32
;7;409.0;15.704166666666667;32
;7;665.0;16.770833333333332;11
;7;615.0;16.5625;53
;7;973.0;18.054166666666667;11
;7;469.0;15.954166666666667;11
;7;882.0;17.675;52
;7;248.0;15.033333333333333;11
;7;251.0;15.045833333333334;76
;7;393.0;15.6375;84
;7;927.0;17.8625;11
;7;518.0;16.15833333333333;11
;7;283.0;15.179166666666667;93
;7;394.0;15.641666666666667;75
;7;539.0;16.245833333333334;28
;7;245.0;15.020833333333334;84
;7;490.0;16.041666666666668;11
;7;423.0;15.7625;76
;7;797.0;17.320833333333333;76
;7;435.0;15.8125;32
;7;784.0;17.266666666666666;76
;7;262.0;15.091666666666667;44
;7;935.0;17.895833333333332;75
;7;296.0;15.233333333333334;75
;7;240.0;15.0;84
;7;565.0;16.354166666666668;11
;7;406.0;15.691666666666666;11
;7;306.0;15.275;11
;7;489.0;16.0375;84
;7;502.0;16.09166666666667;11
;7;436.0;15.816666666666666;53
;7;402.0;15.675;44
;7;436.0;15.816666666666666;93
;7;331.0;15.379166666666666;11
;7;395.0;15.645833333333334;11
;7;589.0;16.454166666666666;52
;7;585.0;16.4375;84
;7;685.0;16.854166666666668;76
;7;597.0;16.4875;52
;7;400.0;15.666666666666666;11
;7;246.0;15.025;75
;7;477.0;15.9875;32
;7;59466.0;261.775;11
;7;818.0;17.408333333333335;76
;7;1275.0;19.3125;11
;7;2135.0;22.895833333333332;75
;7;739.0;17.079166666666666;75
;7;560.0;16.333333333333332;76
;7;1770.0;21.375;75
;7;741.0;17.0875;84
;7;302.0;15.258333333333333;11
;7;640.0;16.666666666666668;24
;7;551.0;16.295833333333334;75
;7;264.0;15.1;11
;7;900.0;17.75;11
;7;413.0;15.720833333333333;75
;7;722.0;17.008333333333333;11
;7;278.0;15.158333333333333;84
;7;249.0;15.0375;75
;7;275.0;15.145833333333334;4
;7;372.0;15.55;11
;7;706.0;16.941666666666666;44
;7;267.0;15.1125;44
;7;3031.0;26.629166666666666;44
;7;701.0;16.920833333333334;24
;7;300.0;15.25;27
;7;275.0;15.145833333333334;93
;7;250.0;15.041666666666666;84
;7;707.0;16.945833333333333;93
;7;933.0;17.8875;76
;7;541.0;16.254166666666666;93
;7;257.0;15.070833333333333;11
;7;687.0;16.8625;52
;7;2490.0;24.375;28
;7;445.0;15.854166666666666;52
;7;388.0;15.616666666666667;84
;7;249.0;15.0375;11
;7;263.0;15.095833333333333;11
;7;761.0;17.170833333333334;11
;7;263.0;15.095833333333333;76
;7;426.0;15.775;93
;7;691.0;16.879166666666666;11
;7;357.0;15.4875;28
;7;2338.0;23.741666666666667;75
;7;1050.0;18.375;11
;7;338.0;15.408333333333333;32
;7;290.0;15.208333333333334;75
;7;273.0;15.1375;52
;7;430.0;15.791666666666666;11
;7;1823.0;21.59583333333333;84
;7;548.0;16.28333333333333;44
;7;310.0;15.291666666666666;28
;7;456.0;15.9;44
