rang,siren,nom,nb_etablissements,effectif_total,of_tam,couverture,specialite,action
1,130017278,CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION PARIS ILE DE FRANCE,6,1763,1,Locale,Tech/Digital,Proposer accompagnement de proximité
2,7756850198,COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,3,881,1,Régionale,Langues,Structurer offre multi-régions
