numeroDeclarationActivite,denomination,region,effectifFormateurs,stagiaires,production_estimee,macro_theme,multi_cert
5.2440572244E10,ADVENTIA SAS,Pays de la Loire,6,398,13.66,Soft Skills,Oui
1.1755992075E10,AE2B,Île-de-France,6,170,12.71,Services,Non
3.280025518E10,AEFTI SAVOIRS ET COMPETENCES,Hauts-de-France,6,1316,17.48,Autre,Non
1.973191597E9,AEG MOULE,Guadeloupe,6,42,12.18,Services,Non
4.973364597E9,AEL AUTO MOTO ECOLE,La Réunion,6,22,12.09,Services,Non
9.3830696883E10,AE SAINT MAXIMIN,Provence-Alpes-Côte d'Azur,6,131,12.55,Services,Non
1.1921490892E10,AFFAIRE DE STYLES,Île-de-France,6,14,12.06,Langues,Non
8.2420103742E10,AFIMAB ASS DE FORM POUR INSER TION METIERS DU BATIMENT,Auvergne-Rhône-Alpes,6,449,13.87,Industrie,Oui
2.7210405721E10,AFM CONSULTANT,Bourgogne-Franche-Comté,6,29,12.12,Services,Non
1.1780802578E10,AFMS ASS FORMATION MANUTENTION SECURITE,Île-de-France,6,626,14.61,Soft Skills,Non
5.2530009753E10,AFOC 53,Pays de la Loire,6,455,13.90,Commerce/Gestion,Non
7.5870154887E10,AFOCG LIMOUSIN,Nouvelle-Aquitaine,6,128,12.53,Commerce/Gestion,Non
5.3560890556E10,AG2L DEVELOPPEMENT,Bretagne,6,33,12.14,Tech/Digital,Non
8.4740454674E10,AGB SOLUTIONS,Auvergne-Rhône-Alpes,6,402,13.68,Juridique,Non
8.4030395303E10,AGC TERRE D ALLIER,Auvergne-Rhône-Alpes,6,39,12.16,Tech/Digital,Non
4.973153197E9,AGENCE ALTITUDE FORMATION,La Réunion,6,261,13.09,Industrie,Non
7.5470154747E10,AGENCE CANELLE,Nouvelle-Aquitaine,6,315,13.31,Autre,Non
1.1930748393E10,AGENCE NATIONALE DU DIGITAL,Île-de-France,6,117,12.49,Autre,Non
8.2691350669E10,AGIR,Auvergne-Rhône-Alpes,6,41,12.17,Soft Skills,Non
9.3830520483E10,AGIR FORMATION,Provence-Alpes-Côte d'Azur,6,45,12.19,Langues,Non
8.2691096469E10,AGORA PERFORMANCE,Auvergne-Rhône-Alpes,6,57,12.24,Autre,Non
2.6210166221E10,AGRA GESTION accompagnement conseil formation,Bourgogne-Franche-Comté,6,26,12.11,Commerce/Gestion,Non
4.1540253254E10,AGRIA GRAND EST,Grand Est,6,72,12.30,Autre,Non
7.5240217924E10,AGRIMEDIA,Nouvelle-Aquitaine,6,10,12.04,Commerce/Gestion,Non
8.3150132915E10,AGROLAB'S site aurillac,Auvergne-Rhône-Alpes,6,402,13.68,Autre,Non
1.1755600475E10,AGROSOLUTIONS,Île-de-France,6,57,12.24,Autre,Non
7.2470018047E10,AGROTEC,Nouvelle-Aquitaine,6,336,13.40,Autre,Non
8.4070115707E10,AH MANAGEMENT,Auvergne-Rhône-Alpes,6,963,16.01,Soft Skills,Non
1.1770638677E10,AIDE A L'INSERTION PROFSSIONNELLE,Île-de-France,6,390,13.62,Soft Skills,Non
1.1756688875E10,AIR LIQUIDE FRANCE INDUSTRIE,Île-de-France,6,2662,23.09,Autre,Non
1.1788482778E10,AJN CONDUITE,Île-de-France,6,67,12.28,Soft Skills,Non
9.3132098513E10,AKASHA,Provence-Alpes-Côte d'Azur,6,110,12.46,Soft Skills,Non
1.1755743375E10,AKOTE,Île-de-France,6,103,12.43,Soft Skills,Non
2.6210338121E10,AKYOS COMMUNICATION,Bourgogne-Franche-Comté,6,65,12.27,Tech/Digital,Non
7.6660213366E10,ALAIN CRIBEILLET-SUD CONDUITE DES PO,Occitanie,6,164,12.68,Autre,Non
2.6210186721E10,ALAIN GOARANT MANAGEMENT ET SECURITE,Bourgogne-Franche-Comté,6,385,13.60,Autre,Non
1.1921337492E10,ALAXWEB  ( NOM  COMMERCIAL ABRICOT FORMATION ),Île-de-France,6,1345,17.60,Autre,Non
7.5331398233E10,ALBA INTERNATIONAL,Nouvelle-Aquitaine,6,280,13.17,Autre,Non
