Rang,Dénomination,SIREN,Ville,CP,Région,Effectif,Stagiaires,Spécialité,Score,Priorité,Production_est,Email,LinkedIn,Statut,Notes
171,JLBR,917717373,GARDANNE,13120,Provence-Alpes-Côte d'Azur,4,350,"Enseignement, formation",85.0,🟠,9.5,,,,
172,SAS AUTO ECOLE SPORT,821643988,,,Provence-Alpes-Côte d'Azur,5,348,"Enseignement, formation",85.0,🟠,11.4,,,,
173,MALHERBE  ET CONSULTANTS,510594591,NEUILLY SUR SEINE,92200,Île-de-France,5,347,Développement des capacités comportementales et relationnelles,85.0,🟠,11.4,,,,
174,SL CONDUITE,854055348,PARIS 17,75017,Île-de-France,5,347,"Enseignement, formation",85.0,🟠,11.4,,,,
175,OBJECTIF PERMIS,841543887,,,Île-de-France,5,346,"Enseignement, formation",85.0,🟠,11.4,,,,
176,TOUS TES PERMIS,882627342,,,Île-de-France,5,345,"Enseignement, formation",85.0,🟠,11.4,,,,
177,ORG INTEGRA,512379314,,,Auvergne-Rhône-Alpes,4,345,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,9.4,,,,
178,AUTO ECOLE RICHARD,891751794,MARSEILLE 09,13009,Provence-Alpes-Côte d'Azur,5,331,"Enseignement, formation",85.0,🟠,11.4,,,,
179,INTERN COLLEGE OF COACHING AND MANAGEMENT,504545617,,,Auvergne-Rhône-Alpes,4,329,Développement des capacités comportementales et relationnelles,85.0,🟠,9.4,,,,
180,DAFSI FORMATION,903687588,CRETEIL,94000,Île-de-France,4,328,"Enseignement, formation",85.0,🟠,9.4,,,,
181,MAXIM AUTO MOTO,848451001,STE MAXIME,83120,Provence-Alpes-Côte d'Azur,4,325,"Enseignement, formation",85.0,🟠,9.4,,,,
182,AUTO ECOLE CHANZY,841527724,,,Île-de-France,4,320,"Enseignement, formation",85.0,🟠,9.3,,,,
183,DHB,844178236,VILLETANEUSE,93430,Île-de-France,4,319,Formations générales,85.0,🟠,9.3,,,,
184,APTING,488797804,NEUILLY SUR SEINE,92200,Île-de-France,5,318,Développement des capacités comportementales et relationnelles,85.0,🟠,11.3,,,,
185,ECOLE DE CONDUITE EUROPEENNE ECE,487912404,,,Île-de-France,5,315,"Enseignement, formation",85.0,🟠,11.3,,,,
186,OZANIM,821266947,GENISSIEUX,26750,Auvergne-Rhône-Alpes,5,314,Développement des capacités comportementales et relationnelles,85.0,🟠,11.3,,,,
187,Mme SARAH SILVA - CARNET,809631096,BEDARIEUX,34600,Occitanie,4,314,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,9.3,,,,
188,CONCERTIENCE,492097415,LYON 09,69009,Auvergne-Rhône-Alpes,4,310,Développement des capacités comportementales et relationnelles,85.0,🟠,9.3,,,,
189,EECAM,497809459,LE PRE ST GERVAIS,93310,Île-de-France,4,308,"Enseignement, formation",85.0,🟠,9.3,,,,
190,AUTO ECOLE EDGAR,904219045,BOBIGNY,93000,Île-de-France,5,306,"Enseignement, formation",85.0,🟠,11.3,,,,
191,AUTO ECOLE DE LA VERSOIE,822928305,,,Auvergne-Rhône-Alpes,4,305,"Enseignement, formation",85.0,🟠,9.3,,,,
192,SOCIETE OLIVIER FORMATION PREVENTION SECURITE,912211711,LA GARDE,83130,Provence-Alpes-Côte d'Azur,5,302,"Enseignement, formation",85.0,🟠,11.3,,,,
193,ACCA,413125337,LYON 03,69432,Auvergne-Rhône-Alpes,5,300,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,11.2,,,,
194,NEW CENTER CONDUITE,793957705,MARSEILLE 06,13006,Provence-Alpes-Côte d'Azur,4,297,"Enseignement, formation",85.0,🟠,9.2,,,,
195,AEQUALITY,901683557,PARIS 18,75018,Île-de-France,4,296,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,9.2,,,,
196,C.E.R GARE D'ARGENTEUIL,538814888,,,Île-de-France,5,295,"Enseignement, formation",85.0,🟠,11.2,,,,
197,SARL LES 3 AS,831494927,VITROLLES,13127,Provence-Alpes-Côte d'Azur,5,292,"Enseignement, formation",85.0,🟠,11.2,,,,
198,LAGARDERE TRAVEL RETAIL FRANCE,542095336,,,Île-de-France,4,291,"Commerce, vente",85.0,🟠,9.2,,,,
199,SAFOR (SANTE FORMATION),408953164,,,Auvergne-Rhône-Alpes,5,289,Spécialités plurivalentes sanitaires et sociales,85.0,🟠,11.2,,,,
200,AUTO ECOLE CFAC CHAMPIGNY,092092148,CHAMPIGNY SUR MARNE,94500,Île-de-France,4,288,"Enseignement, formation",85.0,🟠,9.2,,,,
201,AU BEL HAIR,751325828,ALFORTVILLE,94140,Île-de-France,4,286,"Enseignement, formation",85.0,🟠,9.2,,,,
202,IFOYAKA,843054032,LE PERREUX SUR MARNE,94170,Île-de-France,4,285,Développement des capacités comportementales et relationnelles,85.0,🟠,9.2,,,,
203,AD CONSEILS,501472831,,,Auvergne-Rhône-Alpes,5,284,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,11.2,,,,
204,SD QUALITY,922398258,ECOUEN,95440,Île-de-France,5,284,"Enseignement, formation",85.0,🟠,11.2,,,,
205,AUTO MOTO ECOLE DE BRETAGNE,825128648,,,Île-de-France,4,284,"Enseignement, formation",85.0,🟠,9.2,,,,
206,SARL CENTRE AUTO ROUTIER (CAR),326834751,,,Île-de-France,5,281,"Enseignement, formation",85.0,🟠,11.2,,,,
207,K & S AUTO ECOLE,801878117,LE PLESSIS TREVISE,94420,Île-de-France,4,279,"Enseignement, formation",85.0,🟠,9.2,,,,
208,BLF  GROUPE  AUTO ECOLE ROUTE 91,820849552,MONTGERON,91230,Île-de-France,4,276,"Enseignement, formation",85.0,🟠,9.2,,,,
209,CDT RELATIONS HUMAINES,441598414,POISSY,78300,Île-de-France,4,274,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,9.1,,,,
210,FMSS,894759752,ROISSY EN FRANCE,95700,Île-de-France,4,273,"Transport, manutention, magasinage",85.0,🟠,9.1,,,,
211,SECOURISME ET PREVENTION DU SUD OUEST,899459101,BIAS,47300,Nouvelle-Aquitaine,5,272,"Enseignement, formation",85.0,🟠,11.1,,,,
212,ACCOMPAGNEMENT PROMOTION INSERTION   API PROVENCE,379333479,NICE,63000,Provence-Alpes-Côte d'Azur,5,271,"Enseignement, formation",85.0,🟠,11.1,,,,
213,ECOLE DE CONDUITE DE SARCELLES,888496328,SARCELLES,95200,Île-de-France,5,271,"Enseignement, formation",85.0,🟠,11.1,,,,
214,SELOMAN,908635717,BEZONS,95870,Île-de-France,5,271,"Enseignement, formation",85.0,🟠,11.1,,,,
215,FORSEDIS,420783235,PARIS 08,75008,Île-de-France,4,269,"Transport, manutention, magasinage",85.0,🟠,9.1,,,,
216,MY PERMIS,848232856,,,Île-de-France,5,268,"Enseignement, formation",85.0,🟠,11.1,,,,
217,AUTO ECOLE DE LA GARE DE VITRY,848313672,VITRY SUR SEINE,94400,Île-de-France,5,267,"Enseignement, formation",85.0,🟠,11.1,,,,
218,MONET TOLBIAC AUTO-ECOLE,800866261,PARIS 13,75013,Île-de-France,4,265,"Enseignement, formation",85.0,🟠,9.1,,,,
219,AIR CONSULTING SERVICES,798107389,,,Île-de-France,5,261,Formations générales,85.0,🟠,11.1,,,,
220,AEP AUTO ECOLE DU PARC,824453476,L ETANG LA VILLE,78620,Île-de-France,5,260,"Enseignement, formation",85.0,🟠,11.1,,,,
221,CONTACT CONDUITE,791076128,CHOISY LE ROI,94600,Île-de-France,5,260,"Enseignement, formation",85.0,🟠,11.1,,,,
222,AUTO ECOLE DE LA GARE,751386913,,,Île-de-France,4,260,"Enseignement, formation",85.0,🟠,9.1,,,,
223,DANY F ET L,750041501,LIEUSAINT,77127,Île-de-France,5,259,"Enseignement, formation",85.0,🟠,11.1,,,,
224,COOFA (COOPERER POUR UNE FORMATION ACCESSIBLE),891259616,,,Île-de-France,5,258,"Enseignement, formation",85.0,🟠,11.1,,,,
225,SAUVETAGE SECOURISME SECURITE INCENDIE,893326348,PARIS 07,75007,Île-de-France,5,256,"Enseignement, formation",85.0,🟠,11.1,,,,
226,AUTO ECOLE DU PETIT ROSNE,822725701,SARCELLES,95200,Île-de-France,5,254,"Enseignement, formation",85.0,🟠,11.1,,,,
227,AUTO ECOLE DEE PIERREFEU,824160543,PIERREFEU DU VAR,83390,Provence-Alpes-Côte d'Azur,4,254,"Enseignement, formation",85.0,🟠,9.1,,,,
228,AEG,838301943,ANTONY,92160,Île-de-France,5,253,"Enseignement, formation",85.0,🟠,11.1,,,,
229,T&S CONTROLE ET FORMATION,828279646,,,Auvergne-Rhône-Alpes,5,253,"Enseignement, formation",85.0,🟠,11.1,,,,
230,PERMIS SWIFT,831342845,YERRES,91330,Île-de-France,4,253,"Enseignement, formation",85.0,🟠,9.1,,,,
231,R.L.H AUTO ECOLE,844582668,ROSNY SOUS BOIS,93110,Île-de-France,5,252,"Enseignement, formation",85.0,🟠,11.1,,,,
232,AUTO ECOLE S.H.A.B,817541725,MAISONS ALFORT,94700,Île-de-France,4,252,"Enseignement, formation",85.0,🟠,9.1,,,,
233,DELTA CONSEIL,521284877,,,Centre-Val de Loire,4,252,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,9.1,,,,
234,GO FORMAT SAS,843974742,,,Île-de-France,4,251,"Enseignement, formation",85.0,🟠,9.0,,,,
235,REXIA,539121095,,,Auvergne-Rhône-Alpes,5,250,"Secrétariat, bureautique",85.0,🟠,11.0,,,,
236,RAVAT CYRIL - RC CONSEIL FORMATION,423923614,,,Auvergne-Rhône-Alpes,4,250,"Langues vivantes, civilisations étrangères et régionales",85.0,🟠,9.0,,,,
237,YC AUTO ECOLE,880396619,TAVERNY,95150,Île-de-France,4,250,"Enseignement, formation",85.0,🟠,9.0,,,,
238,MMC FORMATIONS,449244714,,,Provence-Alpes-Côte d'Azur,5,249,"Enseignement, formation",85.0,🟠,11.0,,,,
239,EXCAMINO,523039178,,,Île-de-France,4,249,Développement des capacités comportementales et relationnelles,85.0,🟠,9.0,,,,
240,MINDS UP,753018944,PARIS 19,75019,Île-de-France,4,246,Développement des capacités comportementales et relationnelles,85.0,🟠,9.0,,,,
241,ACTEUR JURIDIQUE,401748561,,,Île-de-France,5,245,"Comptabilité, gestion",85.0,🟠,11.0,,,,
242,WELLJOB COMPETENCES +,838413383,BIOT,64100,Provence-Alpes-Côte d'Azur,5,243,"Commerce, vente",85.0,🟠,11.0,,,,
243,EC CONDUITE ET FORMATION,529122517,CAVAILLON,84300,Provence-Alpes-Côte d'Azur,5,242,"Enseignement, formation",85.0,🟠,11.0,,,,
244,HFC CONDUITE,921335063,FONTENAY AUX ROSES,92260,Île-de-France,5,240,"Enseignement, formation",85.0,🟠,11.0,,,,
245,CLE EN MAIN - OBJECTIF PERMIS,844336875,GOUSSAINVILLE,95190,Île-de-France,4,240,"Enseignement, formation",85.0,🟠,9.0,,,,
246,OF EA,849022066,DRAGUIGNAN,83300,Provence-Alpes-Côte d'Azur,4,238,"Electricité, électronique (non compris automatisme et productique)",85.0,🟠,9.0,,,,
247,TOP CONDUITE,820180998,GAGNY,93220,Île-de-France,5,236,"Enseignement, formation",85.0,🟠,11.0,,,,
248,ASSOLEM,808908529,LYON 01,69203,Auvergne-Rhône-Alpes,5,235,"Commerce, vente",85.0,🟠,11.0,,,,
249,GW CONSEIL,322960873,,,Île-de-France,5,235,"Commerce, vente",85.0,🟠,11.0,,,,
250,SYNAPS FORMATION,902895358,CALUIRE ET CUIRE,69300,Auvergne-Rhône-Alpes,4,235,Développement des capacités comportementales et relationnelles,85.0,🟠,9.0,,,,
251,S.D.B.O.,479219248,PARIS 15,75015,Île-de-France,4,232,"Enseignement, formation",85.0,🟠,9.0,,,,
252,AUTO ECOLE DUCHEMIN,333364495,THIAIS,94320,Île-de-France,4,231,"Enseignement, formation",85.0,🟠,9.0,,,,
253,AUTO ECOLE PARC SAINT THYS,492192141,MARSEILLE 10,13010,Provence-Alpes-Côte d'Azur,5,225,"Enseignement, formation",85.0,🟠,10.9,,,,
254,QUALIPERMIS,539726935,ARGENTEUIL,95100,Île-de-France,5,225,"Enseignement, formation",85.0,🟠,10.9,,,,
255,AUTHENTEAM,834909848,,,Provence-Alpes-Côte d'Azur,5,224,Développement des capacités comportementales et relationnelles,85.0,🟠,10.9,,,,
256,DELLA,513926063,LA MOTTE SERVOLEX,73290,Auvergne-Rhône-Alpes,4,223,"Enseignement, formation",85.0,🟠,8.9,,,,
257,CFPL CONSEIL FORMATION PASCAL LECLERC,789362324,LA CIOTAT,13600,Provence-Alpes-Côte d'Azur,4,221,"Commerce, vente",85.0,🟠,8.9,,,,
258,ARS DICENDI,531589786,,,Île-de-France,4,220,Développement des capacités comportementales et relationnelles,85.0,🟠,8.9,,,,
259,CARMEN PERMIS,800167718,NOGENT SUR MARNE,94130,Île-de-France,4,220,"Enseignement, formation",85.0,🟠,8.9,,,,
260,DAM CONSEILS,508249248,ECULLY,69130,Auvergne-Rhône-Alpes,4,220,Développement des capacités comportementales et relationnelles,85.0,🟠,8.9,,,,
261,SARL AUTO-ECOLE LYON PERMIS,818234536,LYON 07,69007,Auvergne-Rhône-Alpes,4,213,"Enseignement, formation",85.0,🟠,8.9,,,,
262,CREAGILE,795278662,,,Île-de-France,5,212,Spécialités plurivalentes des échanges et de la gestion,85.0,🟠,10.9,,,,
263,SARL M2000 EURO CONDUITE,393830567,AIX EN PROVENCE,13090,Provence-Alpes-Côte d'Azur,5,212,"Enseignement, formation",85.0,🟠,10.9,,,,
264,ECOLE DE CONDUITE DE LA PREFECTURE,509623698,,,Auvergne-Rhône-Alpes,4,212,"Enseignement, formation",85.0,🟠,8.9,,,,
265,2LP CONSULTING,515375168,,,Île-de-France,5,208,"Comptabilité, gestion",85.0,🟠,10.9,,,,
266,L2R,853321859,,,Île-de-France,4,207,"Enseignement, formation",85.0,🟠,8.9,,,,
267,AUTO ECOLE DU 11,834259269,PARIS 11,75011,Île-de-France,4,206,"Enseignement, formation",85.0,🟠,8.9,,,,
268,Association Universitaire d''Odontologie Garancière,784278218,PARIS 06,75006,Île-de-France,4,205,"Enseignement, formation",85.0,🟠,8.9,,,,
269,Ecole de conduite CFR La Gare,832770416,,,Île-de-France,4,205,"Enseignement, formation",85.0,🟠,8.9,,,,
270,ESR NEUILLY PLAISANCE,794937359,NEUILLY PLAISANCE,93360,Île-de-France,4,205,"Enseignement, formation",85.0,🟠,8.9,,,,
271,J AND C ENTREPRISE,984030088,CROISSY SUR SEINE,78290,Île-de-France,4,205,"Enseignement, formation",85.0,🟠,8.9,,,,
272,ECF JALARI,835283878,MEAUX,77100,Île-de-France,5,203,"Enseignement, formation",85.0,🟠,10.8,,,,
273,TOP DRIVER - KAIS -,538931296,,,Île-de-France,4,203,"Enseignement, formation",85.0,🟠,8.8,,,,
274,CER EXCEL,810710764,,,Île-de-France,4,202,"Enseignement, formation",85.0,🟠,8.8,,,,
275,HEA CONSEIL,528336803,,,Île-de-France,4,202,Développement des capacités comportementales et relationnelles,85.0,🟠,8.8,,,,
276,PERMIS EXPRESS,831456777,LES LILAS,93260,Île-de-France,5,201,"Enseignement, formation",85.0,🟠,10.8,,,,
277,SASU CER MERMOZ DRIVE,789074101,,,Île-de-France,5,201,"Enseignement, formation",85.0,🟠,10.8,,,,
278,CER LES VOLCANS,843484197,RIOM,63200,Auvergne-Rhône-Alpes,5,200,"Enseignement, formation",85.0,🟠,10.8,,,,
279,FUNROAD 06,491955506,,,Provence-Alpes-Côte d'Azur,5,200,"Enseignement, formation",85.0,🟠,10.8,,,,
280,JEAN MARC RIGOLET,408631356,OZOIR LA FERRIERE,77330,Île-de-France,5,200,"Sécurité des biens et des personnes, police, surveillance",85.0,🟠,10.8,,,,
281,2S FORMATIONS,919991729,CORMEILLES EN PARISIS,95240,Île-de-France,4,200,"Enseignement, formation",85.0,🟠,8.8,,,,
282,AUTO ECOLE MONGE,913512018,SAVIGNY SUR ORGE,91600,Île-de-France,4,200,"Enseignement, formation",85.0,🟠,8.8,,,,
283,DEMIREL,818628729,L ISLE D ABEAU,38080,Auvergne-Rhône-Alpes,4,200,"Enseignement, formation",85.0,🟠,8.8,,,,
284,AMPLITUDE FORMATION,898494406,TRETS,13530,Provence-Alpes-Côte d'Azur,5,191,Développement des capacités comportementales et relationnelles,85.0,🟠,10.8,,,,
285,SAS CV,808167688,ST HIPPOLYTE,66510,Occitanie,5,190,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,10.8,,,,
286,SBW CONSEIL,834423741,,,Auvergne-Rhône-Alpes,4,148,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,8.6,,,,
287,PROGRESSENCE,804175701,,,Auvergne-Rhône-Alpes,4,140,Développement des capacités comportementales et relationnelles,85.0,🟠,8.6,,,,
288,E(YE)MOTION,822316436,TOULOUSE,31200,Occitanie,4,136,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,8.6,,,,
289,REIFLER EVA  VISIONPURE,529368037,,,Provence-Alpes-Côte d'Azur,5,124,"Enseignement, formation",85.0,🟠,10.5,,,,
290,ADDERUS,793993098,,,Île-de-France,4,122,Développement des capacités comportementales et relationnelles,85.0,🟠,8.5,,,,
291,INSTITUT CONCERTO,510687247,,,Île-de-France,5,116,Développement des capacités comportementales et relationnelles,85.0,🟠,10.5,,,,
292,A SENS OUVERT,510152721,LYON 01,69001,Auvergne-Rhône-Alpes,4,107,Développement des capacités comportementales et relationnelles,85.0,🟠,8.4,,,,
293,STRATEGIE REBOND,809888704,,,Auvergne-Rhône-Alpes,4,103,Développement des capacités comportementales et relationnelles,85.0,🟠,8.4,,,,
294,SF  AUTO   ECOLE,838122257,,,Île-de-France,5,101,"Enseignement, formation",85.0,🟠,10.4,,,,
295,AXXIS FORMATION SANTE,381746213,COURBEVOIE,92400,Île-de-France,5,85,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,10.4,,,,
296,GROUPE CINEO,531370732,,,Île-de-France,4,71,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,8.3,,,,
297,EVOLVANCE,812904365,,,Île-de-France,4,56,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,8.2,,,,
298,STORIA FORMATION,895245793,SEREZIN DU RHONE,69360,Auvergne-Rhône-Alpes,4,50,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,8.2,,,,
299,CEPIA,519492276,,,Auvergne-Rhône-Alpes,5,47,"Ressources humaines, gestion du personnel, gestion de l'emploi",82.0,🟠,10.2,,,,
300,STEPHANE PALMIER CONSULTING,920820362,AURILLAC,15000,Auvergne-Rhône-Alpes,4,44,Développement des capacités comportementales et relationnelles,82.0,🟠,8.2,,,,
301,FOX GRH,853760841,PARIS 08,75008,Île-de-France,4,26,"Ressources humaines, gestion du personnel, gestion de l'emploi",82.0,🟠,8.1,,,,
302,COMPROFILES INSTITUTE,333633139,AIX EN PROVENCE,13540,Provence-Alpes-Côte d'Azur,5,21,"Ressources humaines, gestion du personnel, gestion de l'emploi",82.0,🟠,10.1,,,,
303,ESPRIT SKOLE,980691026,VENISSIEUX,69200,Auvergne-Rhône-Alpes,4,18,"Ressources humaines, gestion du personnel, gestion de l'emploi",82.0,🟠,8.1,,,,
304,ASSERTIVE CAREER MENTORING,529996548,,,Île-de-France,4,10,"Ressources humaines, gestion du personnel, gestion de l'emploi",82.0,🟠,8.0,,,,
305,YLOS7,508508769,PARIS 17,75017,Île-de-France,5,9,"Ressources humaines, gestion du personnel, gestion de l'emploi",82.0,🟠,10.0,,,,
306,SARL CVH,483463584,,,Occitanie,7,8401,"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",80.0,🟠,49.0,,,,
307,REVERTO,841498942,,,Auvergne-Rhône-Alpes,7,6820,Développement des capacités comportementales et relationnelles,80.0,🟠,42.4,,,,
308,EGS (NOM COMMERCIAL FORMAFORCE),951013804,,,Hauts-de-France,5,3985,Bâtiment: construction et couverture,80.0,🟠,26.6,,,,
309,TRIANGLE INCENDIE,487753741,,,Hauts-de-France,5,2244,"Enseignement, formation",80.0,🟠,19.4,,,,
310,ad aliis,534256144,,,Auvergne-Rhône-Alpes,3,2196,Développement des capacités comportementales et relationnelles,80.0,🟠,15.2,,,,
311,CABINET AZAIS PREVENTION ET EXPERTISE,807575931,,,Nouvelle-Aquitaine,7,2135,"Enseignement, formation",80.0,🟠,22.9,,,,
312,SCALE UP LEARNING,894828854,LE PERRAY EN YVELINES,78610,Île-de-France,6,2025,Développement des capacités comportementales et relationnelles,80.0,🟠,20.4,,,,
313,ODYSSEE INFORMATIQUE SAS,388126773,,,Nouvelle-Aquitaine,4,2014,"Comptabilité, gestion",80.0,🟠,16.4,,,,
314,FORMASIP,818793911,BOURG SAINT CHRISTOPHE,18000,Auvergne-Rhône-Alpes,6,1826,"Enseignement, formation",80.0,🟠,19.6,,,,
315,C.T.C.,531495463,,,Auvergne-Rhône-Alpes,7,1823,"Agro-alimentaire, alimentation, cuisine",80.0,🟠,21.6,,,,
316,EFFICITY,497617746,,,Île-de-France,3,1791,Développement des capacités comportementales et relationnelles,80.0,🟠,13.5,,,,
317,LE PRACTICE,439581232,,,Provence-Alpes-Côte d'Azur,7,1705,Spécialités plurivalentes des échanges et de la gestion,80.0,🟠,21.1,,,,
318,LA BOITE D ASSEMBLAGE,492589197,,,Île-de-France,3,1641,"Agro-alimentaire, alimentation, cuisine",80.0,🟠,12.8,,,,
319,ASSOCIATION  JEUNESSE   AVENIR,775676422,PARIS 09,75009,Île-de-France,10,1608,"Enseignement, formation",80.0,🟠,26.7,,,,
320,SARL TESSERE,453084493,,,Pays de la Loire,6,1519,"Ressources humaines, gestion du personnel, gestion de l'emploi",80.0,🟠,18.3,,,,
321,LOOMIS FORMATION,500993035,,,Île-de-France,9,1496,"Enseignement, formation",80.0,🟠,24.2,,,,
322,SMF,750087314,BOURG EN BRESSE,10000,Auvergne-Rhône-Alpes,6,1487,"Enseignement, formation",80.0,🟠,18.2,,,,
323,CEDIAL,404386393,GIVORS,69700,Auvergne-Rhône-Alpes,3,1455,"Agro-alimentaire, alimentation, cuisine",80.0,🟠,12.1,,,,
324,ACTEURS DE LIEN,794280388,PARIS 16,75016,Île-de-France,7,1403,Développement des capacités comportementales et relationnelles,80.0,🟠,19.8,,,,
325,ECOLE DE TAXI HOCINE YOUSFI,794722306,PARIS 11,75011,Île-de-France,7,1385,"Enseignement, formation",80.0,🟠,19.8,,,,
326,CENTAURE PARIS-NORMANDIE,379207648,,,Normandie,5,1382,"Enseignement, formation",80.0,🟠,15.8,,,,
327,SABATA ANNE-LAURE,753198779,,,Normandie,4,1311,"Enseignement, formation",80.0,🟠,13.5,,,,
328,DIALOGANCE FORMATION,538485293,,,Auvergne-Rhône-Alpes,3,1291,Développement des capacités comportementales et relationnelles,80.0,🟠,11.4,,,,
329,ALAN SERVICES,908361314,,,Île-de-France,7,1282,Développement des capacités comportementales et relationnelles,80.0,🟠,19.3,,,,
330,L'ECOLE DU RECRUTEMENT,809599756,,,Île-de-France,3,1282,"Ressources humaines, gestion du personnel, gestion de l'emploi",80.0,🟠,11.3,,,,
331,SYDO,498486307,LYON 01,69001,Auvergne-Rhône-Alpes,3,1273,Formations générales,80.0,🟠,11.3,,,,
332,BIENVEILLANCE,833982648,,,Auvergne-Rhône-Alpes,6,1245,"Enseignement, formation",80.0,🟠,17.2,,,,
333,ACTEO CONSULTING,450736558,PARIS 15,75015,Île-de-France,7,1205,Développement des capacités comportementales et relationnelles,80.0,🟠,19.0,,,,
334,S.A.R.L. 5A FORMATIONS,793600115,REIGNIER ESERY,74930,Auvergne-Rhône-Alpes,3,1204,"Transport, manutention, magasinage",80.0,🟠,11.0,,,,
335,PREVI 2 S,803475656,VARCES ALLIERES ET RISSET,38760,Auvergne-Rhône-Alpes,3,1200,"Enseignement, formation",80.0,🟠,11.0,,,,
336,SYSTEMIC CONSEIL,049053378,,,Île-de-France,6,1193,Développement des capacités comportementales et relationnelles,80.0,🟠,17.0,,,,
337,CBE SUD LUBERON-VAL DE DURANCE,326676806,PERTUIS,84120,Provence-Alpes-Côte d'Azur,6,1145,Formations générales,80.0,🟠,16.8,,,,
338,FH2R CONSEIL - SENDRA FREDERIC,498099324,,,Centre-Val de Loire,4,1133,Développement des capacités comportementales et relationnelles,80.0,🟠,12.7,,,,
339,EXECO,488771577,FONTAINE,38600,Auvergne-Rhône-Alpes,7,1123,"Ressources humaines, gestion du personnel, gestion de l'emploi",80.0,🟠,18.7,,,,
340,CRISIS PREVENTION INSTITUTE  INC,889163333,,,Île-de-France,6,1112,"Enseignement, formation",80.0,🟠,16.6,,,,
341,GREENBULL CAMPUS FRANCE,831622089,,,Provence-Alpes-Côte d'Azur,6,1040,"Commerce, vente",80.0,🟠,16.3,,,,
342,SPARRING PARTNERS CONSEIL,844437582,GRENOBLE,38100,Auvergne-Rhône-Alpes,3,1025,Développement des capacités comportementales et relationnelles,80.0,🟠,10.3,,,,
343,RESSOURCES 2,509664702,PIN,70150,Bourgogne-Franche-Comté,4,1019,Développement des capacités comportementales et relationnelles,80.0,🟠,12.2,,,,
344,HORS PISTE CONSEIL,881424519,,,Provence-Alpes-Côte d'Azur,6,999,"Ressources humaines, gestion du personnel, gestion de l'emploi",80.0,🟠,16.2,,,,
345,TH CONSEIL,478312614,LYON 03,69003,Auvergne-Rhône-Alpes,7,989,"Ressources humaines, gestion du personnel, gestion de l'emploi",80.0,🟠,18.1,,,,
346,GROUPE EXCEL,489894014,,,Île-de-France,6,974,"Comptabilité, gestion",80.0,🟠,16.1,,,,
347,ARRET SUR IMAGE,524514015,PARIS 16,75016,Île-de-France,7,973,"Ressources humaines, gestion du personnel, gestion de l'emploi",80.0,🟠,18.1,,,,
348,CAP ACADEMIE,914773395,MOUANS SARTOUX,63700,Provence-Alpes-Côte d'Azur,3,908,"Comptabilité, gestion",80.0,🟠,9.8,,,,
349,CARINEL,812372027,,,Île-de-France,7,900,Développement des capacités comportementales et relationnelles,80.0,🟠,17.8,,,,
350,SPARTAN CONSULTING,802085944,,,Auvergne-Rhône-Alpes,6,897,"Ressources humaines, gestion du personnel, gestion de l'emploi",80.0,🟠,15.7,,,,
351,MAUJONNET CONSULTING,815375431,PONTOISE,95300,Île-de-France,6,893,Développement des capacités comportementales et relationnelles,80.0,🟠,15.7,,,,
352,L'ATELIER DES PARENTS ET COMPAGNIE,799659669,,,Île-de-France,9,844,"Enseignement, formation",80.0,🟠,21.5,,,,
353,WAKE UP FORMATIONS,532420486,,,Île-de-France,7,822,Développement des capacités comportementales et relationnelles,80.0,🟠,17.4,,,,
354,ACCES FORMATION,398606509,CHATEAU THIERRY,24000,Hauts-de-France,7,817,"Ressources humaines, gestion du personnel, gestion de l'emploi",80.0,🟠,17.4,,,,
355,CENTRE D'EDUCATION ET SECURITE ROUTIERE 20,488152703,BIGUGLIA,20620,Corse,5,815,"Enseignement, formation",80.0,🟠,13.4,,,,
356,ALTER EGAUX,789290053,,,Provence-Alpes-Côte d'Azur,6,814,Développement des capacités comportementales et relationnelles,80.0,🟠,15.4,,,,
357,COIFFIER-GORLA RAFFAELA,795128909,TALLENDE,63450,Auvergne-Rhône-Alpes,6,811,"Ressources humaines, gestion du personnel, gestion de l'emploi",80.0,🟠,15.4,,,,
358,ITYCOM FRANCE,514475391,,,Auvergne-Rhône-Alpes,6,802,"Enseignement, formation",80.0,🟠,15.3,,,,
359,ME FORMATION,920888955,PARIS 08,75008,Île-de-France,7,787,"Enseignement, formation",80.0,🟠,17.3,,,,
